店舗名,ジャンル,サブジャンル,住所,緯度,経度,サンプル拠点からの距離(m),Google評価,口コミ件数,価格帯,営業時間,定休日,電話番号,公式サイト/SNS,特徴,深夜営業,競合度,ターゲット,備考,拠点住所,拠点緯度,拠点経度
デモ酒場 F,居酒屋,,（ダミー住所）大阪府サンプル市サンプル2丁目31-5,34.726827,135.501825,72,4.2,312,"￥1,000-2,000",17:00-翌2:00,火曜日,06-0000-1031,,カラオケ,×,高,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
テストLounge C,BAR,ダイニングバー,（ダミー住所）大阪府サンプル市サンプル4丁目28-2,34.726165,135.500507,94,3.6,35,"￥2,000-4,000",17:00-翌2:00,水曜日,06-0000-1028,,カラオケ,×,高,サラリーマン・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデルトラットリア L,イタリアン,,（ダミー住所）大阪府サンプル市サンプル3丁目37-2,34.727311,135.49998,107,4.6,26,"￥2,000-4,000",17:00-翌2:00,水曜日,06-0000-1037,,ダーツ,○,中,女性・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモキッチン V,レストラン,,（ダミー住所）大阪府サンプル市サンプル2丁目21-4,34.727655,135.5022,136,4.1,9,"￥2,000-4,000",11:00-23:00,水曜日,06-0000-1021,,ダーツ・カラオケ,○,中,デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
デモ食堂 P,居酒屋,焼鳥,（ダミー住所）大阪府サンプル市サンプル1丁目15-7,34.727309,135.498923,199,4.7,3,"￥1,000未満",17:00-翌2:00,火曜日,06-0000-1015,,,○,高,サラリーマン・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
モデル食堂 Q,居酒屋,焼鳥,（ダミー住所）大阪府サンプル市サンプル2丁目16-8,34.728079,135.499022,226,3.1,20,"￥4,000以上",17:00-翌2:00,不定休,06-0000-1016,,テラス,×,中,サラリーマン・デート/会食,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプル食堂 G,居酒屋,,（ダミー住所）大阪府サンプル市サンプル3丁目32-6,34.724934,135.501879,231,4.3,15,"￥1,000未満",17:00-翌2:00,不定休,06-0000-1032,,,×,高,サラリーマン,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプルトラットリア M,イタリアン,,（ダミー住所）大阪府サンプル市サンプル3丁目12-4,34.728702,135.499676,236,4.1,8,"￥1,000未満",17:00-翌2:00,月曜日,06-0000-1012,,,○,中,女性・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
架空酒場 N,居酒屋,,（ダミー住所）大阪府サンプル市サンプル5丁目39-4,34.727264,135.498347,249,3.2,79,"￥2,000-4,000",17:00-翌2:00,火曜日,06-0000-1039,,テラス・個室,○,中,サラリーマン・デート/会食・2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
サンプル串焼き B,焼鳥,焼鳥,（ダミー住所）大阪府サンプル市サンプル2丁目1-2,34.728656,135.502821,255,3.2,31,"￥1,000未満",17:00-翌2:00,火曜日,06-0000-1001,,,○,中,2次会,サンプルデータ（実店舗ではありません）,（デモ用ダミー住所）大阪府サンプル市サンプル1丁目,34.726893,135.501036
